ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,Accesos por cada 100 hogares,Accesos por cada 100 hab,Año,Trimestre,Banda ancha fija,Dial up,Ingresos (miles de pesos),Mbps (Media de bajada),Cluster,Nuevo Acceso,KPI_2%
774475,5986957,4015101,598682,257941,11633156,Ene-Mar 2024,78.89,24.79,2024,1,11621363,11793,280419124.08,139.15,1,80.47,2.0
836390,6022532,3908183,585760,194796,11547661,Oct-Dic 2023,78.56,24.66,2023,4,11535868,11793,167376014.8,139.04,1,80.13,2.0
897895,6018832,3708718,581436,200027,11406908,Jul-Sept 2023,77.84,24.41,2023,3,11395115,11793,133106593.41,129.67,1,79.4,2.0
1006509,5997149,3463988,581823,202428,11251897,Abr-Jun 2023,77.02,24.14,2023,2,11239781,12116,118060280.28,123.95,1,78.56,2.0
1204417,6002582,3243411,576647,214838,11241895,Ene-Mar 2023,77.2,24.17,2023,1,11229459,12436,104134992.81,110.5,1,78.74,2.0
1315373,6037457,3060575,572969,221740,11208114,Oct-Dic 2022,77.21,24.15,2022,4,11195668,12446,72443482.99,106.56,1,78.75,2.0
1395277,6031970,2871541,557110,235230,11091128,Jul-Sept 2022,76.64,23.95,2022,3,11078691,12437,64086784.33,62.46,1,78.17,2.0
1468333,5979214,2723285,556243,231609,10958684,Abr-Jun 2022,75.97,23.72,2022,2,10946248,12436,60419500.62,58.44,1,77.48,2.0
1533240,6073426,2219533,545814,251996,10624009,Ene-Mar 2022,73.88,23.05,2022,1,10611390,12619,55219313.01,55.11,1,75.36,2.0
1657615,5984240,2072236,523107,252596,10489794,Oct-Dic 2021,73.18,22.81,2021,4,10476933,12861,45467887.17,52.34,1,74.64,2.0
1950631,5826257,1566048,492415,250190,10085541,Jul-Sept 2021,70.58,21.98,2021,3,10075184,10357,42999944.29,48.46,1,71.99,2.0
2018587,5641731,1472246,476968,253552,9863084,Abr-Jun 2021,69.24,21.55,2021,2,9852702,10382,38239666.63,45.63,1,70.62,2.0
