provincia,partido,localidad,poblacion,adsl,cablemodem,dial_up,fibra_optica,satelital,wireless,telefonia_fija,3g,4g,link_indec,latitud,longitud
buenos_aires,25_de_mayo,25_de_mayo,23408,SI,SI,NO,NO,SI,SI,SI,SI,SI,6854100,-35.4339385892588,-60.1731209454056
buenos_aires,25_de_mayo,agustin_mosconi,280,NO,NO,NO,NO,NO,NO,SI,NO,NO,6854010,-35.7392169542026,-60.5590634621789
buenos_aires,25_de_mayo,del_valle,899,SI,NO,NO,NO,SI,NO,NO,SI,NO,6854020,-35.8973453887603,-60.7316089512944
buenos_aires,25_de_mayo,ernestina,145,SI,NO,NO,NO,NO,NO,SI,NO,NO,6854030,-35.2702340519789,-59.5575034078873
buenos_aires,25_de_mayo,gobernador_ugarte,547,NO,NO,NO,NO,NO,SI,NO,NO,NO,6854040,-35.1643973648093,-60.0813577815069
buenos_aires,25_de_mayo,lucas_monteverde,63,NO,NO,NO,NO,NO,SI,NO,NO,NO,6854050,-35.4838272164734,-59.9880647932831
buenos_aires,25_de_mayo,norberto_de_la_riestra,4524,NO,SI,NO,SI,NO,SI,SI,SI,SI,6854060,-35.2727788695321,-59.7719327250509
buenos_aires,25_de_mayo,pedernales,1432,SI,NO,NO,SI,NO,SI,SI,NO,SI,6854070,-35.2666085074294,-59.6306574695384
buenos_aires,25_de_mayo,san_enrique,279,NO,NO,NO,NO,NO,NO,SI,NO,NO,6854080,-35.7785028686085,-60.3546454811901
buenos_aires,25_de_mayo,valdes,579,NO,NO,NO,NO,NO,NO,SI,NO,SI,6854090,-35.6488128268597,-60.4672591673156
buenos_aires,9_de_julio,12_de_octubre,219,NO,NO,NO,NO,NO,SI,SI,NO,NO,6588030,-35.607730780146,-60.9182929927645
buenos_aires,9_de_julio,9_de_julio,36494,SI,SI,SI,SI,NO,SI,SI,SI,SI,6588100,-35.4447435053964,-60.8843433362719
buenos_aires,alberti,villa_maria,24,NO,NO,NO,NO,NO,NO,NO,NO,NO,6021060,-34.8881255447686,-60.3469385614883
buenos_aires,alberti,villa_ortiz_est_coronel_mom,815,NO,NO,NO,NO,NO,SI,SI,SI,SI,6021070,-34.8435329449862,-60.3048498633642
