,provincia,partido,localidad,0256_mbps,05_mbps,0512_mbps,075_mbps,1_mbps,15_mbps,2_mbps,25_mbps,3_mbps,35_mbps,4_mbps,45_mbps,5_mbps,6_mbps,7_mbps,75_mbps,8_mbps,9_mbps,10_mbps,11_mbps,12_mbps,13_mbps,14_mbps,15_mbps,16_mbps,18_mbps,20_mbps,21_mbps,22_mbps,23_mbps,24_mbps,25_mbps,255_mbps,26_mbps,27_mbps,30_mbps,31_mbps,32_mbps,35_mbps,36_mbps,40_mbps,41_mbps,45_mbps,48_mbps,49_mbps,50_mbps,51_mbps,55_mbps,60_mbps,61_mbps,65_mbps,66_mbps,70_mbps,75_mbps,80_mbps,85_mbps,90_mbps,95_mbps,98_mbps,100_mbps,105_mbps,110_mbps,120_mbps,122_mbps,125_mbps,130_mbps,140_mbps,150_mbps,155_mbps,160_mbps,164_mbps,165_mbps,200_mbps,205_mbps,212_mbps,220_mbps,225_mbps,240_mbps,246_mbps,250_mbps,256_mbps,275_mbps,300_mbps,320_mbps,325_mbps,350_mbps,400_mbps,450_mbps,480_mbps,500_mbps,512_mbps,600_mbps,680_mbps,700_mbps,800_mbps,850_mbps,900_mbps,999_mbps,1000_mbps,1024_mbps,4000_mbps,10000_mbps,velocidad_promedio,cluster,pca1,pca2
860,chaco,san_fernando,resistencia,0.0,5.0,1.0,0.0,172.0,0.0,46.0,0.0,275.0,2.0,0.0,0.0,698.0,686.0,10.0,0.0,2.0,0.0,1520.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47083.0,0.0,0.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,17774.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,0.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,981.0098039215686,2,49667.46742104559,-23326.845595500778
2890,santiago_del_estero,capital,santiago_del_estero,0.0,4.0,1.0,908.0,172.0,0.0,5.0,0.0,1349.0,0.0,0.0,0.0,25.0,3727.0,0.0,0.0,0.0,0.0,46437.0,0.0,14783.0,0.0,0.0,86.0,0.0,0.0,8526.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5519.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,6079.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5216.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,978.9705882352941,2,15683.041749691007,3707.6102622515227
1471,entre_rios,parana,parana,0.0,3.0,0.0,5.0,387.0,0.0,245.0,0.0,1014.0,5.0,0.0,0.0,511.0,872.0,0.0,0.0,5.0,0.0,855.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39577.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,27197.0,0.0,0.0,0.0,0.0,0.0,0.0,1963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,963.6078431372549,2,48632.516408300486,-17787.38436103198
1311,corrientes,capital,corrientes,0.0,1.0,1.0,0.0,485.0,0.0,643.0,0.0,1451.0,4.0,1.0,0.0,1.0,1391.0,0.0,0.0,140.0,0.0,2208.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,2738.0,0.0,0.0,0.0,0.0,20304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33217.0,0.0,0.0,1658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,24782.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,931.2647058823529,2,42680.112054201294,-14939.749354922873
626,buenos_aires,san_miguel,san_miguel,0.0,7.0,2.0,44.0,13.0,0.0,1570.0,0.0,740.0,160.0,0.0,0.0,254.0,3359.0,0.0,0.0,85.0,0.0,11210.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,45499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3205.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3805.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,925.4607843137255,2,15166.615149133453,19388.373415505826
2061,neuquen,confluencia,neuquen,0.0,24.0,35.0,385.0,27.0,0.0,238.0,0.0,542.0,4179.0,122.0,0.0,25.0,595.0,0.0,0.0,1577.0,0.0,895.0,0.0,44.0,0.0,0.0,1921.0,0.0,0.0,806.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,11288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24303.0,0.0,0.0,0.0,0.0,0.0,0.0,2573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,801.1372549019608,2,35111.052435379956,1745.4544886767528
479,buenos_aires,moreno,moreno,0.0,8.0,1.0,43.0,6.0,0.0,554.0,0.0,263.0,276.0,0.0,0.0,650.0,1191.0,0.0,0.0,107.0,0.0,4484.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,16182.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17498.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,3547.0,0.0,0.0,951.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9453.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10772.0,0.0,0.0,0.0,0.0,0.0,0.0,1911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2707.0,0.0,0.0,0.0,722.3823529411765,2,16751.47740015385,18180.335346074564
1126,cordoba,rio_cuarto,rio_cuarto,0.0,3.0,0.0,1.0,127.0,0.0,2.0,0.0,422.0,1.0,0.0,0.0,3.0,1007.0,0.0,0.0,2.0,0.0,2307.0,0.0,0.0,0.0,0.0,557.0,0.0,0.0,1735.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19445.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,710.0392156862745,2,34196.86782519171,-12698.112331651158
424,buenos_aires,lomas_de_zamora,banfield,0.0,10.0,1.0,22.0,24.0,0.0,0.0,0.0,32.0,79.0,0.0,0.0,40.0,48.0,0.0,0.0,69.0,0.0,2325.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.0,0.0,0.0,2623.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,5206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22911.0,0.0,0.0,0.0,0.0,0.0,0.0,4223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5224.0,0.0,0.0,0.0,708.2254901960785,2,22078.701482594908,15536.032780463947
468,buenos_aires,merlo,merlo,0.0,8.0,0.0,26.0,11.0,0.0,277.0,0.0,62.0,128.0,0.0,0.0,390.0,778.0,0.0,0.0,75.0,0.0,706.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.0,0.0,0.0,1487.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,2742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15287.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4011.0,0.0,0.0,0.0,664.5294117647059,2,19378.014526391304,24083.496376639774
